,Clean_tweet,label
31421,live! swiftly sharpens the fang tale of a|,1
31903,nothing. that would be .,1
13229,"al capone was jailed for tax evasion, not murders he committed. what is 's achilles heel?",1
26203,this concept was thrown out of the window when supremacists &amp; heededa|,1
16782,omits decades of records for his ag confirmation hearing 'don't do as i do',1
13675,are the 1st to tell jokes,1
25006,"to all of those, who answer replies to my youtube comments...you do not, i repeat you do not know me when i'm angry",1
24767,porn vids web free sex,1
27666,"haha wow. is a for using the n-word &amp; the equivalent of it in arabic ""abd"" which means slave:",1
21217,chick gets fucked c thomas howell naked,1
9976,you might be a libtard if...,1
1214,"also is when i type ""cause coopting terrorists"" reg syria it autocorrects to ""cause colored terrorists""",1
4033,happy new year,1
26851,"swiftly sharpens the fang , &amp;",1
26077,has complained that the pap is to white according to their lawa|,1
1170,"this how works in uk. if i'd been white &amp; those politician impoed thieves black, they'd investigate &amp; prosecute. d",1
31719,are you &amp; feel like the are stomping on you? a|,1
25735,antics are purposedly used by to divide us,1
9079,this is really telling.,1
26273,aren't protesting because a won-they do so because trump has fuhered &amp;a|,1
192,you might be a libtard if...,1
11751,the ironies inherent in my experiences living &amp; working in,1
22657,calls for to step down but he won't because he knows that he can spew with no consequences! d,1
10568,techjunkiejh:'alt-right' site plans a 'fake black person' twitter campaign a|,1
5582,"i despise . in that hatred of racism, it causes me, and many other black people ina|",1
15359,"saw a vid where some dude spoke on his on &amp; got thrown off, these 2 are screaminga|",1
7760,you might be a libtard if...,1
6836,clearly just humour. attempt by media to undermine won't work. trump is not a .,1
14080,"d""#whitegenocide telling white students they don't deserve to live is the reason won't die!!d""",1
17156,when i asked the sales assistants if they heard they quickly copped out...hmm i wouldn't be surprised they said!!,1
8962,all the snowpeople in this movie are white.,1
27550,probably a not so closeted who'd have been posing w/a man not long ago. ..nuff said..,1
20013,this basically sums up what means:,1
16387,put on your big girl panties pandy asses,1
29156,what does the tornado and black people have in common? it only takes 1 to ruin the neighborhood.,1
15885,"victim of adam saleh refers to black people as ""abeed"" (slaves) in one of his sketches.",1
29065,why is ignored,1
24878,will stop ..so annoying,1
17511,kicking off about acting slutty on do it every time and no one bats a lid. against men! ;),1
20419,just learned that there're men who find breast feeding repulsive. &amp; some of those are fathers! does that makes any sense whatsoever?,1
26976,"hard to think how is still very much prevalent in so many societies. if you're not white, rest assured disca|",1
6741,scatter may we bless&amp;keep shine upon be gracious look kindly toward one another. let us all as aa|,1
7458,lock the gate!,1
23721,keep standing your ground. interview represents &amp; blatant misrepresentation of valid statementa|,1
8183,why is ignored,1
14965,"meet the wilmington peacekeepers, they walk in beauty. week of actions",1
10603,vandalised in in condemns act,1
10255,so this girl walks into and refuses to let me serve her because i'm a white guy? whoa hey there and,1
12305,i agree.,1
15049,"awe the peoplea originally meant awe the white, landholding males.a a|",1
18147,axed from after comments .....celebrity?? who is she?d$?,1
9638,council staff have been instructed by the anc to go slow and make the da look bad. this was exposed a few weeks ago.,1
550,girls in the world sexy mature housewife,1
22279,bjork wrote a powerful essay about and we're applauding,1
23423,a should not be by how it its highest but its lowest ones.,1
21991,"mma fans: losses don't matter! mma fans on rr: she's lost twice, she is trash.",1
8451,here comes a douchebag who can only poke his nose as sme of all.,1
23596,hiv infection from oral sex white girl has sex with black guy,1
18464,fuck donald trump! he will never be my president!,1
11172,"your ignorance, and is egregious. don't dare speak 4 'rest of",1
25022,"no, you're just supposed to be quiet and look pretty.",1
1541,not all muslims hate america.,1
6006,why is it forbidden to write '2 blacks' on a restaurant bill but ok to wear a t shi saying 'kill all whites'?,1
18111,aowhy is it illegal to show photos of women but legal to write comments?,1
3542,how is the word even in your vocabulary? do you know what it means?,1
22330,can't believe no one has cottoned on to him saying his song was white christmas,1
14530,trump is a cuck,1
15463,did someone say ? gee (((@user you're a bit triggered eh?,1
